Open;High;Low;Close;Adj Close;Volume;Price Delta
288,164001;290,733002;286,002014;288,696991;288,696991;20662200;0,53299
288,640015;293,052002;287,705994;292,686005;292,686005;16032300;4,04599
292,639008;297,773987;287,450012;293,623993;293,623993;30592000;0,984985
293,632996;296,648987;293,423004;294,427002;294,427002;25453600;0,794006
294,484009;294,536011;288,777008;289,589996;289,589996;24672600;-4,894013
289,102997;290,126007;286,567993;287,721985;287,721985;21635800;-1,381012
287,696014;288,959015;282,343994;284,649994;284,649994;23629100;-3,04602
284,686005;284,932007;278,112;281,601013;281,601013;18995000;-3,084992
280,449005;283,032013;277,528992;282,614014;282,614014;17722200;2,165009
282,806;285,471008;280,233002;281,22699;281,22699;21474100;-1,57901
281,225006;285,714996;281,225006;285,217987;285,217987;21908700;3,992981
284,846985;285,501007;281,488007;281,881989;281,881989;20128000;-2,964996
281,906006;281,906006;278,403015;278,576996;278,576996;18792100;-3,32901
278,740997;280,391998;276,365997;279,584991;279,584991;42484800;0,843994
279,742004;279,928009;260,709991;260,997009;260,997009;58533000;-18,744995
261,115997;267,002991;260,467987;265,083008;265,083008;23789600;3,967011
265,477997;267,032013;262,596008;264,470001;264,470001;20979400;-1,007996
264,34201;270,385986;264,093994;270,385986;270,385986;25433900;6,043976
270,597992;270,673004;265,468994;266,376007;266,376007;26815400;-4,221985
266,183014;266,231995;262,841003;264,079987;264,079987;27685500;-2,103027
264,131989;267,466003;261,477997;265,679993;265,679993;27091200;1,548004
265,528992;266,666992;261,29599;261,550995;261,550995;19321100;-3,977997
261,865997;262,440002;257,040985;258,506989;258,506989;29717000;-3,359008
258,48999;260,505005;257,117004;257,976013;257,976013;21617900;-0,513977
257,925995;257,993011;211,078995;211,078995;211,078995;42147200;-46,847
225,671005;237,408997;222,766006;226,684006;226,684006;60869200;1,013001
226,899002;237,365005;226,899002;235,350006;235,350006;32275000;8,451004
235,354996;236,432007;231,723999;232,569;232,569;23173800;-2,785996
232,662003;234,957001;222,703995;230,389999;230,389999;23205900;-2,272004
230,376007;232,705002;225,580002;228,169006;228,169006;18406600;-2,207001
228,112;228,139008;210,442993;210,494995;210,494995;59220700;-17,617005
210,067993;226,320999;199,567001;221,608994;221,608994;61089200;11,541001
222,076004;231,182999;220,203995;225,830994;225,830994;31808000;3,75499
226,050003;228,643005;223,684006;224,768997;224,768997;21905400;-1,281006
224,701004;235,218994;220,925995;231,395996;231,395996;31336600;6,694992
231,548996;233,222;227,330002;229,779999;229,779999;17142500;-1,768997
229,895004;232,067993;226,246994;228,761002;228,761002;19412600;-1,134002
229,113998;231,955994;225,914993;230,056;230,056;20710700;0,942002
230,255997;231,216003;226,860001;228,121002;228,121002;20575200;-2,134995
228,026993;230,576996;226,475006;229,283997;229,283997;18760400;1,257004
229,324005;229,604996;226,667007;227,182999;227,182999;17482000;-2,141006
227,214996;230,899994;227,050995;230,298004;230,298004;20962400;3,083008
230,199005;236,143005;229,442993;235,018997;235,018997;20671400;4,819992
234,869995;242,912003;234,681;239,839996;239,839996;25473700;4,970001
239,934006;242,106003;238,722;239,847;239,847;21192200;-0,087006
239,845993;245,781006;239,677994;243,606995;243,606995;26879200;3,761002
243,414993;244,416;237,820999;238,167999;238,167999;23635700;-5,246994
238,335999;241,292999;235,791;238,477005;238,477005;21215500;0,141006
238,328995;241,169006;238,328995;240,106995;240,106995;19224700;1,778
239,854996;240,123993;234,753998;235,229004;235,229004;17962600;-4,625992
235,242004;235,934998;229,332001;230,511993;230,511993;18478800;-4,730011
230,608994;232,440002;227,960999;230,643997;230,643997;20997800;0,035003
230,492004;259,182007;229,822006;230,304001;230,304001;19177800;-0,188003
230,25;231,214996;227,401993;229,091003;229,091003;20144200;-1,158997
229,076004;230,285004;228,925995;229,809998;229,809998;18935400;0,733994
233,520996;234,352997;232,184998;232,975006;232,975006;20242200;-0,54599
232,858002;233,205002;231,089005;231,492996;231,492996;12712600;-1,365006
231,399002;232,365005;230,910004;231,212006;231,212006;14444700;-0,186996
231,216995;231,216995;226,520996;227,085007;227,085007;19678800;-4,131988
226,968994;232,386002;225,117004;230,617996;230,617996;25009300;3,649002
230,936005;231,835007;229,591003;230,283005;230,283005;17254100;-0,653
230,358002;235,649002;230,294998;234,529007;234,529007;25097800;4,171005
234,362;237,427002;233,684006;235,143997;235,143997;22363600;0,781997
235,076004;235,403;233,358002;234,339996;234,339996;13724100;-0,736008
234,139008;234,526001;232,475998;232,757004;232,757004;14179900;-1,382004
232,835999;239,339005;232,466995;239,141998;239,141998;24713000;6,305999
239,016006;239,802002;235,927994;236,686996;236,686996;22691300;-2,32901
236,639999;237,733994;235,628998;236,059998;236,059998;19743500;-0,580001
236,003998;238,445007;235,615997;237,548996;237,548996;20488800;1,544998
237,264008;238,541;236,602997;237,292999;237,292999;19677900;0,028991
237,201996;239,315002;236,944;238,729996;238,729996;16482700;1,528
238,531006;238,968002;237,940002;238,259003;238,259003;12999000;-0,272003
238,147003;240,382996;237,035004;240,382996;240,382996;23335900;2,235993
240,363998;246,934998;240,136002;246,063004;246,063004;27535100;5,699006
246,169998;246,681;242,585007;242,968994;242,968994;22999200;-3,201004
243,074997;244,251007;242,179001;242,304001;242,304001;18515300;-0,770996
242,498001;244,227997;242,121994;243,931;243,931;17353100;1,432999
243,740005;245,319;243,074005;244,940994;244,940994;15912700;1,200989
244,742004;247,242996;244,151993;247,050003;247,050003;16827300;2,307999
246,875;247,453995;245,179001;245,307999;245,307999;17388300;-1,567001
245,199997;250,235992;243,757004;249,507996;249,507996;28198500;4,307999
249,492996;254,274994;248,903;251,988998;251,988998;27462600;2,496002
252,106995;255,962006;252,046005;254,320007;254,320007;25223500;2,213012
254,296005;266,13501;253,925995;262,868988;262,868988;35901500;8,572983
262,747009;273,578003;262,367004;270,640015;270,640015;43199600;7,893006
270,907013;271,667999;260,777008;261,643005;261,643005;22434300;-9,264008
261,860992;264,820007;260,950989;263,437012;263,437012;25258800;1,57602
263,571991;270,834991;263,22699;269,463013;269,463013;30889800;5,891022
269,306;270,769989;263,838989;266,272003;266,272003;25637300;-3,033997
266,496002;276,51001;266,13501;274,02301;274,02301;37808600;7,527008
273,648987;278,68399;273,542999;276,496002;276,496002;29442500;2,847015
276,503998;281,705994;276,503998;281,653992;281,653992;25942400;5,149994
